"Mortality rate, infant (per 1,000 live births)"
"86","China","42.2","..","37.7","..","30.1","..","20.3","..","13.5","..","12.5","..","11.6","..","10.7","..","9.9","..","9.2","..","8.5",".."
"90","Colombia","28.9","..","24.8","..","21.2","..","18.4","..","15.9","..","15.4","..","14.9","..","14.5","..","14.0","..","13.6","..","13.1",".."
"165","Comoros","88.3","..","77.6","..","73.8","..","72.1","..","64.5","..","62.7","..","61.3","..","59.7","..","58.1","..","56.5","..","55.0",".."
"137","Congo","59.3","..","67.3","..","74.2","..","58.7","..","44.1","..","42.6","..","41.4","..","40.6","..","39.9","..","39.2","..","38.5",".."
"176","Congo (Democratic Republic of the)","118.4","..","113.9","..","106.8","..","95.8","..","84.5","..","82.3","..","80.2","..","78.1","..","76.0","..","74.0","..","72.0",".."
"63","Costa Rica","14.3","..","12.5","..","11.1","..","9.1","..","8.8","..","8.8","..","8.7","..","8.5","..","8.2","..","7.9","..","7.7",".."
"46","Croatia","11.1","..","8.7","..","7.2","..","5.8","..","4.7","..","4.5","..","4.4","..","4.3","..","4.2","..","4.1","..","4.0",".."
"73","Cuba","10.6","..","8.4","..","6.4","..","5.3","..","4.7","..","4.6","..","4.4","..","4.4","..","4.3","..","4.3","..","4.2",".."
"32","Cyprus","9.9","..","7.9","..","5.8","..","4.1","..","3.0","..","2.8","..","2.6","..","2.4","..","2.3","..","2.2","..","2.1",".."
"27","Czechia","10.3","..","7.1","..","4.5","..","3.6","..","2.7","..","2.6","..","2.6","..","2.5","..","2.5","..","2.5","..","2.5",".."
"170","Côte d'Ivoire","104.2","..","104.7","..","100.7","..","89.0","..","78.4","..","76.5","..","74.6","..","72.3","..","70.1","..","68.0","..","66.0",".."
"11","Denmark","7.4","..","5.4","..","4.6","..","4.0","..","3.4","..","3.4","..","3.4","..","3.4","..","3.5","..","3.6","..","3.7",".."
"172","Djibouti","91.4","..","85.2","..","79.4","..","71.1","..","62.5","..","60.9","..","59.3","..","57.8","..","56.4","..","54.9","..","53.5",".."
"103","Dominica","14.0","..","14.0","..","13.4","..","14.3","..","20.0","..","21.9","..","24.3","..","26.6","..","28.7","..","30.2","..","31.2",".."
"94","Dominican Republic","46.3","..","38.8","..","33.1","..","30.1","..","28.3","..","28.0","..","27.6","..","27.2","..","26.7","..","26.1","..","25.5",".."
"86","Ecuador","44.1","..","35.2","..","28.4","..","24.4","..","21.2","..","20.6","..","20.1","..","19.5","..","18.9","..","18.3","..","17.8",".."
"115","Egypt","63.0","..","49.6","..","37.3","..","29.6","..","24.3","..","23.4","..","22.5","..","21.6","..","20.9","..","20.1","..","19.4",".."
"121","El Salvador","46.1","..","35.6","..","26.9","..","20.9","..","16.5","..","15.7","..","15.1","..","14.4","..","13.8","..","13.3","..","12.9",".."
"141","Equatorial Guinea","128.6","..","116.6","..","104.5","..","91.5","..","78.7","..","76.4","..","74.3","..","72.2","..","70.1","..","68.2","..","66.2",".."
"179","Eritrea","92.7","..","74.1","..","58.2","..","47.0","..","39.1","..","37.9","..","36.8","..","35.7","..","34.7","..","33.8","..","32.9",".."
"30","Estonia","14.0","..","12.5","..","8.8","..","5.7","..","3.6","..","3.4","..","3.1","..","2.9","..","2.6","..","2.5","..","2.3",".."
"144","Eswatini (Kingdom of)","50.3","..","60.5","..","76.2","..","78.5","..","65.1","..","59.4","..","59.1","..","57.5","..","54.6","..","53.1","..","52.4",".."
"173","Ethiopia","120.8","..","105.2","..","88.8","..","70.2","..","53.7","..","51.1","..","48.6","..","46.4","..","44.4","..","42.6","..","41.0",".."
"92","Fiji","23.8","..","20.5","..","19.1","..","19.6","..","20.4","..","20.3","..","20.1","..","19.8","..","19.5","..","19.1","..","18.7",".."
"15","Finland","5.5","..","4.3","..","3.5","..","3.1","..","2.5","..","2.4","..","2.3","..","2.1","..","2.0","..","2.0","..","1.9",".."
"24","France","7.4","..","5.4","..","4.4","..","3.8","..","3.5","..","3.5","..","3.4","..","3.4","..","3.3","..","3.2","..","3.2",".."
"110","Gabon","60.0","..","57.4","..","54.0","..","48.5","..","41.7","..","40.4","..","39.0","..","37.6","..","36.9","..","35.8","..","34.3",".."
"174","Gambia","81.7","..","71.7","..","63.1","..","55.2","..","48.6","..","47.4","..","46.3","..","45.2","..","44.2","..","43.2","..","42.2",".."
"70","Georgia","40.4","..","37.7","..","31.0","..","21.8","..","14.7","..","13.7","..","12.7","..","11.8","..","11.0","..","10.2","..","9.5",".."
"5","Germany","7.0","..","5.3","..","4.4","..","3.9","..","3.5","..","3.4","..","3.3","..","3.3","..","3.3","..","3.3","..","3.2",".."
"140","Ghana","79.6","..","71.6","..","64.5","..","57.1","..","50.2","..","48.5","..","46.8","..","45.2","..","43.8","..","42.4","..","41.2",".."
"31","Greece","9.3","..","7.4","..","5.5","..","3.9","..","3.2","..","3.2","..","3.2","..","3.2","..","3.2","..","3.1","..","3.1",".."
"75","Grenada","18.0","..","14.9","..","13.4","..","13.0","..","12.9","..","13.0","..","13.3","..","13.6","..","13.9","..","14.2","..","14.4",".."
"127","Guatemala","60.4","..","49.3","..","40.8","..","34.4","..","29.1","..","28.1","..","27.2","..","26.3","..","25.4","..","24.6","..","23.9",".."
"175","Guinea","138.7","..","120.2","..","100.7","..","82.5","..","69.8","..","67.6","..","65.6","..","63.7","..","61.8","..","60.0","..","58.3",".."
"177","Guinea-Bissau","129.7","..","118.3","..","105.2","..","89.5","..","72.4","..","69.3","..","66.5","..","63.9","..","61.6","..","59.6","..","57.8",".."
"125","Guyana","46.4","..","41.2","..","37.0","..","33.5","..","30.7","..","30.2","..","29.6","..","29.0","..","28.3","..","27.6","..","26.9",".."
"168","Haiti","100.4","..","87.4","..","74.8","..","65.5","..","85.2","..","57.5","..","56.2","..","54.8","..","53.5","..","52.2","..","50.9",".."
