"Malaria incidence (per 1,000 people at risk)"
"150","Pakistan","21.1","..","19.3","..","15.2","..","9.6","..","10.6",".."
"66","Panama","0.8","..","2.6","..","0.3","..","0.3","..","0.4",".."
"153","Papua New Guinea","285.4","..","256.5","..","194.7","..","132.0","..","179.4",".."
"110","Paraguay","71.8","..","3.6","..","0.2","..","0.0","..","0.0",".."
"89","Peru","23.5","..","26.3","..","9.7","..","19.7","..","17.8",".."
"113","Philippines","4.9","..","5.6","..","1.7","..","0.6","..","0.5",".."
"158","Rwanda","201.8","..","158.5","..","106.0","..","298.4","..","392.7",".."
"143","Sao Tome and Principe","230.7","..","116.6","..","15.7","..","10.5","..","11.2",".."
"39","Saudi Arabia","7.9","..","1.1","..","0.0","..","0.1","..","0.2",".."
"164","Senegal","244.7","..","118.1","..","101.5","..","71.6","..","49.0",".."
"184","Sierra Leone","384.5","..","385.9","..","400.5","..","307.1","..","303.5",".."
"152","Solomon Islands","655.4","..","644.6","..","183.5","..","67.8","..","144.8",".."
"n.a","Somalia","94.9","..","133.8","..","30.4","..","61.2","..","60.2",".."
"113","South Africa","5.6","..","2.3","..","2.2","..","0.1","..","1.1",".."
"187","South Sudan","277.4","..","233.5","..","175.2","..","157.5","..","159.0",".."
"76","Sri Lanka","114.2","..","0.9","..","0.3","..","0.0","..","0.0",".."
"167","Sudan","75.7","..","66.6","..","35.2","..","35.7","..","35.3",".."
"100","Suriname","252.9","..","192.5","..","34.2","..","1.5","..","1.4",".."
"127","Tajikistan","40.0","..","6.2","..","0.1","..","0.0","..","0.0",".."
"154","Tanzania (United Republic of)","372.1","..","282.3","..","179.0","..","143.9","..","144.2",".."
"83","Thailand","11.8","..","4.3","..","4.6","..","1.1","..","1.6",".."
"132","Timor-Leste","912.6","..","1017.4","..","854.4","..","0.8","..","0.9",".."
"165","Togo","418.4","..","454.4","..","395.0","..","361.8","..","360.4",".."
"64","Turkey","1870.2","..","317.4","..","0.0","..","0.0","..","0.0",".."
"162","Uganda","472.4","..","442.1","..","395.3","..","189.5","..","187.2",".."
"105","Uzbekistan","6.0","..","4.5","..","0.1","..","0.0","..","0.0",".."
"138","Vanuatu","144.9","..","142.1","..","62.4","..","2.5","..","14.7",".."
"78","Venezuela (Bolivarian Republic of)","10.5","..","13.4","..","9.1","..","25.8","..","44.7",".."
"116","Viet Nam","7.3","..","1.3","..","0.7","..","0.3","..","0.1",".."
"178","Yemen","30.7","..","23.3","..","41.7","..","24.3","..","30.5",".."
"144","Zambia","342.1","..","242.9","..","159.7","..","191.5","..","189.8",".."
"156","Zimbabwe","188.1","..","188.2","..","151.6","..","111.4","..","77.9",".."
"68","Albania","..","..","..","..","..","..","..","..","..",".."
"35","Andorra","..","..","..","..","..","..","..","..","..",".."
"70","Antigua and Barbuda","..","..","..","..","..","..","..","..","..",".."
"83","Armenia","..","..","..","..","..","..","..","..","..",".."
"3","Australia","..","..","..","..","..","..","..","..","..",".."
"20","Austria","..","..","..","..","..","..","..","..","..",".."
"54","Bahamas","..","..","..","..","..","..","..","..","..",".."
"43","Bahrain","..","..","..","..","..","..","..","..","..",".."
"58","Barbados","..","..","..","..","..","..","..","..","..",".."
"53","Belarus","..","..","..","..","..","..","..","..","..",".."
"17","Belgium","..","..","..","..","..","..","..","..","..",".."
"77","Bosnia and Herzegovina","..","..","..","..","..","..","..","..","..",".."
"39","Brunei Darussalam","..","..","..","..","..","..","..","..","..",".."
"51","Bulgaria","..","..","..","..","..","..","..","..","..",".."
"12","Canada","..","..","..","..","..","..","..","..","..",".."
"44","Chile","..","..","..","..","..","..","..","..","..",".."
"46","Croatia","..","..","..","..","..","..","..","..","..",".."
"73","Cuba","..","..","..","..","..","..","..","..","..",".."
"32","Cyprus","..","..","..","..","..","..","..","..","..",".."
"27","Czechia","..","..","..","..","..","..","..","..","..",".."
"11","Denmark","..","..","..","..","..","..","..","..","..",".."
"103","Dominica","..","..","..","..","..","..","..","..","..",".."
"115","Egypt","..","..","..","..","..","..","..","..","..",".."
"30","Estonia","..","..","..","..","..","..","..","..","..",".."
"92","Fiji","..","..","..","..","..","..","..","..","..",".."
"15","Finland","..","..","..","..","..","..","..","..","..",".."
"24","France","..","..","..","..","..","..","..","..","..",".."
"5","Germany","..","..","..","..","..","..","..","..","..",".."
"31","Greece","..","..","..","..","..","..","..","..","..",".."
"75","Grenada","..","..","..","..","..","..","..","..","..",".."
"7","Hong Kong, China (SAR)","..","..","..","..","..","..","..","..","..",".."
"45","Hungary","..","..","..","..","..","..","..","..","..",".."
"6","Iceland","..","..","..","..","..","..","..","..","..",".."
"4","Ireland","..","..","..","..","..","..","..","..","..",".."
"22","Israel","..","..","..","..","..","..","..","..","..",".."
"28","Italy","..","..","..","..","..","..","..","..","..",".."
"97","Jamaica","..","..","..","..","..","..","..","..","..",".."
"19","Japan","..","..","..","..","..","..","..","..","..",".."
"95","Jordan","..","..","..","..","..","..","..","..","..",".."
"58","Kazakhstan","..","..","..","..","..","..","..","..","..",".."
"134","Kiribati","..","..","..","..","..","..","..","..","..",".."
"56","Kuwait","..","..","..","..","..","..","..","..","..",".."
"41","Latvia","..","..","..","..","..","..","..","..","..",".."
"80","Lebanon","..","..","..","..","..","..","..","..","..",".."
"159","Lesotho","..","..","..","..","..","..","..","..","..",".."
"108","Libya","..","..","..","..","..","..","..","..","..",".."
"17","Liechtenstein","..","..","..","..","..","..","..","..","..",".."
"35","Lithuania","..","..","..","..","..","..","..","..","..",".."
"21","Luxembourg","..","..","..","..","..","..","..","..","..",".."
"101","Maldives","..","..","..","..","..","..","..","..","..",".."
"29","Malta","..","..","..","..","..","..","..","..","..",".."
"106","Marshall Islands","..","..","..","..","..","..","..","..","..",".."
"65","Mauritius","..","..","..","..","..","..","..","..","..",".."
"131","Micronesia (Federated States of)","..","..","..","..","..","..","..","..","..",".."
"112","Moldova (Republic of)","..","..","..","..","..","..","..","..","..",".."
"n.a","Monaco","..","..","..","..","..","..","..","..","..",".."
"92","Mongolia","..","..","..","..","..","..","..","..","..",".."
"50","Montenegro","..","..","..","..","..","..","..","..","..",".."
"123","Morocco","..","..","..","..","..","..","..","..","..",".."
"n.a","Nauru","..","..","..","..","..","..","..","..","..",".."
"10","Netherlands","..","..","..","..","..","..","..","..","..",".."
"16","New Zealand","..","..","..","..","..","..","..","..","..",".."
"1","Norway","..","..","..","..","..","..","..","..","..",".."
"48","Oman","..","..","..","..","..","..","..","..","..",".."
"60","Palau","..","..","..","..","..","..","..","..","..",".."
"119","Palestine, State of","..","..","..","..","..","..","..","..","..",".."
"33","Poland","..","..","..","..","..","..","..","..","..",".."
"41","Portugal","..","..","..","..","..","..","..","..","..",".."
"37","Qatar","..","..","..","..","..","..","..","..","..",".."
"52","Romania","..","..","..","..","..","..","..","..","..",".."
"49","Russian Federation","..","..","..","..","..","..","..","..","..",".."
"72","Saint Kitts and Nevis","..","..","..","..","..","..","..","..","..",".."
"90","Saint Lucia","..","..","..","..","..","..","..","..","..",".."
"99","Saint Vincent and the Grenadines","..","..","..","..","..","..","..","..","..",".."
"104","Samoa","..","..","..","..","..","..","..","..","..",".."
"n.a","San Marino","..","..","..","..","..","..","..","..","..",".."
"67","Serbia","..","..","..","..","..","..","..","..","..",".."
"62","Seychelles","..","..","..","..","..","..","..","..","..",".."
"9","Singapore","..","..","..","..","..","..","..","..","..",".."
"38","Slovakia","..","..","..","..","..","..","..","..","..",".."
"25","Slovenia","..","..","..","..","..","..","..","..","..",".."
"26","Spain","..","..","..","..","..","..","..","..","..",".."
"7","Sweden","..","..","..","..","..","..","..","..","..",".."
"2","Switzerland","..","..","..","..","..","..","..","..","..",".."
"155","Syrian Arab Republic","..","..","..","..","..","..","..","..","..",".."
"80","The former Yugoslav Republic of Macedonia","..","..","..","..","..","..","..","..","..",".."
