"Tuberculosis incidence (per 100,000 people)"
"HDI Rank (2017)","Country","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016",""
"168","Afghanistan","190.0","..","189.0","..","189.0","..","189.0","..","189.0","..","189.0","..","189.0","..","189.0","..","189.0",".."
"68","Albania","22.0","..","19.0","..","17.0","..","17.0","..","16.0","..","19.0","..","16.0","..","16.0","..","16.0",".."
"85","Algeria","74.0","..","80.0","..","77.0","..","73.0","..","73.0","..","67.0","..","72.0","..","74.0","..","70.0",".."
"35","Andorra","21.0","..","15.0","..","9.5","..","4.1","..","13.0","..","7.1","..","8.7","..","5.9","..","6.0",".."
"147","Angola","297.0","..","368.0","..","384.0","..","383.0","..","380.0","..","376.0","..","370.0","..","370.0","..","370.0",".."
"70","Antigua and Barbuda","5.5","..","7.7","..","8.5","..","7.2","..","3.6","..","12.0","..","3.5","..","5.0","..","3.4",".."
"47","Argentina","37.0","..","31.0","..","20.0","..","27.0","..","24.0","..","24.0","..","25.0","..","25.0","..","24.0",".."
"83","Armenia","54.0","..","92.0","..","61.0","..","55.0","..","53.0","..","60.0","..","57.0","..","47.0","..","44.0",".."
"3","Australia","6.3","..","5.9","..","6.5","..","6.3","..","6.6","..","6.2","..","6.5","..","6.1","..","6.1",".."
"20","Austria","17.0","..","13.0","..","9.1","..","9.1","..","8.4","..","8.4","..","7.5","..","7.5","..","8.2",".."
"80","Azerbaijan","80.0","..","88.0","..","104.0","..","125.0","..","86.0","..","78.0","..","76.0","..","71.0","..","66.0",".."
"54","Bahamas","32.0","..","17.0","..","9.9","..","13.0","..","9.9","..","10.0","..","15.0","..","18.0","..","26.0",".."
"43","Bahrain","36.0","..","36.0","..","23.0","..","20.0","..","20.0","..","18.0","..","16.0","..","14.0","..","12.0",".."
"136","Bangladesh","221.0","..","221.0","..","221.0","..","221.0","..","221.0","..","221.0","..","221.0","..","221.0","..","221.0",".."
"58","Barbados","1.3","..","4.0","..","2.5","..","0.0","..","1.6","..","1.6","..","2.0","..","0.0","..","1.2",".."
"53","Belarus","83.0","..","74.0","..","69.0","..","67.0","..","64.0","..","61.0","..","58.0","..","55.0","..","52.0",".."
"17","Belgium","14.0","..","12.0","..","11.0","..","10.0","..","9.4","..","9.3","..","9.1","..","9.5","..","10.0",".."
"106","Belize","49.0","..","41.0","..","52.0","..","26.0","..","29.0","..","40.0","..","24.0","..","25.0","..","38.0",".."
"163","Benin","86.0","..","73.0","..","68.0","..","67.0","..","66.0","..","64.0","..","61.0","..","60.0","..","59.0",".."
"134","Bhutan","249.0","..","192.0","..","225.0","..","208.0","..","188.0","..","176.0","..","172.0","..","153.0","..","178.0",".."
"118","Bolivia (Plurinational State of)","184.0","..","158.0","..","135.0","..","131.0","..","127.0","..","123.0","..","120.0","..","117.0","..","114.0",".."
"77","Bosnia and Herzegovina","82.0","..","70.0","..","44.0","..","46.0","..","48.0","..","44.0","..","42.0","..","39.0","..","32.0",".."
"101","Botswana","914.0","..","728.0","..","518.0","..","480.0","..","445.0","..","414.0","..","385.0","..","356.0","..","326.0",".."
"79","Brazil","51.0","..","50.0","..","44.0","..","44.0","..","42.0","..","45.0","..","43.0","..","42.0","..","42.0",".."
